Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Dominica,DMA,NA,NA,NA,NA,NA,NA,0,0,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03169,0.03169,0.03178,0.03178,0.0317808219178082,0.0633879781420765,0.0635616438356164,0.0635616438356164,0.0635616438356164,0.0633879781420765,0.0635616438356164,0.0635616438356164,0.06356164384,0.06356164384,0.0635616438356164,0.0635616438356164,0.0635616438356164,0.0635616438356164,NA,NA
Denmark,DNK,6.995897193,7.3,7.6,7.5,7,6.1,5.8,4.8,4.2,3.6,3.1,2.9,2.6,2.6,2.6,2.7,2.9,2.5,2.7,2.6,2.4,2.3,2.2,2.2,2.4,2.3,2.3,2,2,1.6,1.6,1.6,1.5,1.4,NA
Dominican Republic,DOM,2.257422938,2.4,2.6,3,3,4.2,2.4,3.8,3.7,4.1,4.5,5.6,4.2,5.9,9.6,7,11,14,14,17,20,17,17,16,19,21,23,26,34,27,26,24,23,NA,NA
Algeria,DZA,22.28930253,25,26,31,36,34,43,38,40,39,34,39,39,41,38,37,34,44,47,50,45,52,49,53,56,59,51,53,54,52,63,63,61,NA,NA
Ecuador,ECU,3.009880282,3.4,3.8,4.2,4.9,5.6,7,7.6,9.2,10,11,12,14,14,16,18,18,20,17,20,21,22,20,22,22,23,21,32,33,31,33,32,33,NA,NA
Egypt,EGY,11.49774268,13,14,16,17,19,14,24,25,27,28,28,32,37,14,16,16,29,33,40,74,78,83,64,70,76,97,125,134,141,140,139,85,NA,NA
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.2,0.2,0.2,0.04096,0.03178,0.0317808219178082,0.0633879781420765,0.0953424657534247,0.1,0.1,0.2,0.1,0.0953424657534247,0.06356164384,0.09534246576,0.1,0,0.0635616438356164,0.0635616438356164,NA,NA
Western Sahara,ESH,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Spain,ESP,73.29600647,72,67,68,68,72,76,79,83,76,81,91,84,79,85,80,84,80,82,81,79,74,74,73,74,72,66,65,63,58,59,53,51,49,NA
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,NA
